id,domain,competencyIds,competencyLabel,difficulty,layer,scope,familyId,casePatternId,prompt,context,need,artifactType,artifactLabel,artifactBrief,generationPrompt,questionId,th
"NH-CORE-GENERAL-D1-CORE-CONCEPTS-PROFICIENT-04","D1","D1-core-concepts","Core AI concepts","proficient","core","Core / general","D1-core-concepts-proficient","D1-core-concepts-proficient-3","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap. Tailor it to this question: Internal support team uses AI to prepare a support response. A correct draft is visible, but the send action fails with a permission denial. Staff has to approve the response before it is sent. Which conclusion is justified by this comparison?","Scenario: Internal support team needs a support response.
Use: maintained knowledge articles.
Rule: Staff must approve the response before it is sent.
Risk: An incorrect answer can cause repeated support work.
Evidence: A correct draft is visible, but the send action fails with a permission denial.","requires artifact","workflow-trace","Workflow / agent trace","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap.","NH-CORE-GENERAL-D1-CORE-CONCEPTS-PROFICIENT-04","[object Object]"
"NH-CORE-GENERAL-D1-CORE-CONCEPTS-PROFICIENT-05","D1","D1-core-concepts","Core AI concepts","proficient","core","Core / general","D1-core-concepts-proficient","D1-core-concepts-proficient-4","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area. Tailor it to this question: Research group uses AI to prepare an evidence summary. A template rule selects the wrong category before any model is called. Every material factual claim needs traceable evidence. Which conclusion is justified by this comparison?","Scenario: Research group needs an evidence summary.
Use: documented source extracts.
Rule: Every material factual claim needs traceable evidence.
Risk: An unsupported result can distort the recommendation.
Evidence: A template rule selects the wrong category before any model is called.","requires artifact","source-comparison-pack","Source comparison / version evidence","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area.","NH-CORE-GENERAL-D1-CORE-CONCEPTS-PROFICIENT-05","[object Object]"
"NH-CORE-GENERAL-D1-CORE-CONCEPTS-PROFICIENT-06","D1","D1-core-concepts","Core AI concepts","proficient","core","Core / general","D1-core-concepts-proficient","D1-core-concepts-proficient-1","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap. Tailor it to this question: Volunteer organization uses AI to prepare a coordination plan. Two apps use the same model. Only one can access the current approved volunteer schedules and only that app answers the version question correctly. Named people has to confirm changes to their assignments. Which conclusion is justified by this comparison?","Scenario: Volunteer organization needs a coordination plan.
Use: approved volunteer schedules.
Rule: Named people must confirm changes to their assignments.
Risk: A missed handoff can leave a service uncovered.
Evidence: Two apps use the same model. Only one can access the current approved volunteer schedules and only that app answers the version question correctly.","requires artifact","workflow-trace","Workflow / agent trace","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap.","NH-CORE-GENERAL-D1-CORE-CONCEPTS-PROFICIENT-06","[object Object]"
"NH-CORE-GENERAL-D1-CORE-CONCEPTS-PROFICIENT-08","D1","D1-core-concepts","Core AI concepts","proficient","core","Core / general","D1-core-concepts-proficient","D1-core-concepts-proficient-3","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap. Tailor it to this question: Product team uses AI to prepare a release note. A correct draft is visible, but the send action fails with a permission denial. Unreleased capabilities has to not be described as available. Which conclusion is justified by this comparison?","Scenario: Product team needs a release note.
Use: approved release records.
Rule: Unreleased capabilities must not be described as available.
Risk: A false capability claim can change a purchase decision.
Evidence: A correct draft is visible, but the send action fails with a permission denial.","requires artifact","workflow-trace","Workflow / agent trace","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap.","NH-CORE-GENERAL-D1-CORE-CONCEPTS-PROFICIENT-08","[object Object]"
"NH-CORE-GENERAL-D1-CORE-CONCEPTS-ADVANCED-01","D1","D1-core-concepts","Core AI concepts","advanced","core","Core / general","D1-core-concepts-advanced","D1-core-concepts-advanced-3","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap. Tailor it to this question: Project team uses AI to prepare a project update. Draft quality is stable, but completed actions vary across staff roles. Only the current approved version can be circulated. Which experiment would best isolate the disputed source of performance?","Scenario: Project team needs a project update.
Use: approved project records.
Rule: Only the current approved version may be circulated.
Risk: A wrong update can send the team to the wrong milestone.
Evidence: Draft quality is stable, but completed actions vary across staff roles.","requires artifact","workflow-trace","Workflow / agent trace","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap.","NH-CORE-GENERAL-D1-CORE-CONCEPTS-ADVANCED-01","[object Object]"
"NH-CORE-GENERAL-D1-CORE-CONCEPTS-ADVANCED-02","D1","D1-core-concepts","Core AI concepts","advanced","core","Core / general","D1-core-concepts-advanced","D1-core-concepts-advanced-4","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area. Tailor it to this question: Community learning group uses AI to prepare a workshop guide. All component tests pass, but records are lost between drafting and approval. The guide has to work for readers with no AI background. Which experiment would best isolate the disputed source of performance?","Scenario: Community learning group needs a workshop guide.
Use: reviewed learning materials.
Rule: The guide must work for readers with no AI background.
Risk: An unsupported instruction can mislead new learners.
Evidence: All component tests pass, but records are lost between drafting and approval.","requires artifact","source-comparison-pack","Source comparison / version evidence","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area.","NH-CORE-GENERAL-D1-CORE-CONCEPTS-ADVANCED-02","[object Object]"
"NH-CORE-GENERAL-D1-CORE-CONCEPTS-ADVANCED-04","D1","D1-core-concepts","Core AI concepts","advanced","core","Core / general","D1-core-concepts-advanced","D1-core-concepts-advanced-2","Create a realistic business email, chat, or support-ticket thread with sender identity, timestamps, quoted prior message, attachment reference, and one risky ambiguity. Tailor it to this question: Internal support team uses AI to prepare a support response. A sponsor credits a new index, but the model and review checklist also changed. Staff has to approve the response before it is sent. Which experiment would best isolate the disputed source of performance?","Scenario: Internal support team needs a support response.
Use: maintained knowledge articles.
Rule: Staff must approve the response before it is sent.
Risk: An incorrect answer can cause repeated support work.
Evidence: A sponsor credits a new index, but the model and review checklist also changed.","requires artifact","communication-thread","Email / chat / ticket thread","Realistic email/chat/ticket thread with sender, dates, attachments, and ambiguous or risky claim highlighted.","Create a realistic business email, chat, or support-ticket thread with sender identity, timestamps, quoted prior message, attachment reference, and one risky ambiguity.","NH-CORE-GENERAL-D1-CORE-CONCEPTS-ADVANCED-04","[object Object]"
"NH-CORE-GENERAL-D1-CORE-CONCEPTS-ADVANCED-05","D1","D1-core-concepts","Core AI concepts","advanced","core","Core / general","D1-core-concepts-advanced","D1-core-concepts-advanced-3","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area. Tailor it to this question: Research group uses AI to prepare an evidence summary. Draft quality is stable, but completed actions vary across staff roles. Every material factual claim needs traceable evidence. Which experiment would best isolate the disputed source of performance?","Scenario: Research group needs an evidence summary.
Use: documented source extracts.
Rule: Every material factual claim needs traceable evidence.
Risk: An unsupported result can distort the recommendation.
Evidence: Draft quality is stable, but completed actions vary across staff roles.","requires artifact","source-comparison-pack","Source comparison / version evidence","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area.","NH-CORE-GENERAL-D1-CORE-CONCEPTS-ADVANCED-05","[object Object]"
"NH-CORE-GENERAL-D1-CORE-CONCEPTS-ADVANCED-06","D1","D1-core-concepts","Core AI concepts","advanced","core","Core / general","D1-core-concepts-advanced","D1-core-concepts-advanced-4","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap. Tailor it to this question: Volunteer organization uses AI to prepare a coordination plan. All component tests pass, but records are lost between drafting and approval. Named people has to confirm changes to their assignments. Which experiment would best isolate the disputed source of performance?","Scenario: Volunteer organization needs a coordination plan.
Use: approved volunteer schedules.
Rule: Named people must confirm changes to their assignments.
Risk: A missed handoff can leave a service uncovered.
Evidence: All component tests pass, but records are lost between drafting and approval.","requires artifact","workflow-trace","Workflow / agent trace","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap.","NH-CORE-GENERAL-D1-CORE-CONCEPTS-ADVANCED-06","[object Object]"
"NH-CORE-GENERAL-D1-CORE-CONCEPTS-ADVANCED-08","D1","D1-core-concepts","Core AI concepts","advanced","core","Core / general","D1-core-concepts-advanced","D1-core-concepts-advanced-2","Create a realistic one-page policy excerpt with title, owner, effective date, scope, exception clause, approval route, and one visible applicability limit. Tailor it to this question: Product team uses AI to prepare a release note. A sponsor credits a new index, but the model and review checklist also changed. Unreleased capabilities has to not be described as available. Which experiment would best isolate the disputed source of performance?","Scenario: Product team needs a release note.
Use: approved release records.
Rule: Unreleased capabilities must not be described as available.
Risk: A false capability claim can change a purchase decision.
Evidence: A sponsor credits a new index, but the model and review checklist also changed.","requires artifact","policy-excerpt","Policy / terms excerpt","Short policy or terms excerpt with version, scope, exception, owner, and approval/review route.","Create a realistic one-page policy excerpt with title, owner, effective date, scope, exception clause, approval route, and one visible applicability limit.","NH-CORE-GENERAL-D1-CORE-CONCEPTS-ADVANCED-08","[object Object]"
"NH-CORE-GENERAL-D1-GENAI-MECHANICS-AWARENESS-02","D1","D1-genai-mechanics","Generative AI mechanics","awareness","core","Core / general","D1-genai-mechanics-awareness","D1-genai-mechanics-awareness-2","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area. Tailor it to this question: Community learning group uses AI to prepare a workshop guide. Texts about similar ideas are placed near one another in a numerical representation. The guide has to work for readers with no AI background. Which mechanism explains the observation?","Scenario: Community learning group needs a workshop guide.
Use: reviewed learning materials.
Rule: The guide must work for readers with no AI background.
Risk: An unsupported instruction can mislead new learners.
Evidence: Texts about similar ideas are placed near one another in a numerical representation.","artifact helpful","source-comparison-pack","Source comparison / version evidence","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area.","NH-CORE-GENERAL-D1-GENAI-MECHANICS-AWARENESS-02","[object Object]"
"NH-CORE-GENERAL-D1-GENAI-MECHANICS-AWARENESS-04","D1","D1-genai-mechanics","Generative AI mechanics","awareness","core","Core / general","D1-genai-mechanics-awareness","D1-genai-mechanics-awareness-4","Create a realistic business email, chat, or support-ticket thread with sender identity, timestamps, quoted prior message, attachment reference, and one risky ambiguity. Tailor it to this question: Internal support team uses AI to prepare a support response. Training updates change model parameters using a curated set of task examples. Staff has to approve the response before it is sent. Which mechanism explains the observation?","Scenario: Internal support team needs a support response.
Use: maintained knowledge articles.
Rule: Staff must approve the response before it is sent.
Risk: An incorrect answer can cause repeated support work.
Evidence: Training updates change model parameters using a curated set of task examples.","artifact helpful","communication-thread","Email / chat / ticket thread","Realistic email/chat/ticket thread with sender, dates, attachments, and ambiguous or risky claim highlighted.","Create a realistic business email, chat, or support-ticket thread with sender identity, timestamps, quoted prior message, attachment reference, and one risky ambiguity.","NH-CORE-GENERAL-D1-GENAI-MECHANICS-AWARENESS-04","[object Object]"
"NH-CORE-GENERAL-D1-GENAI-MECHANICS-AWARENESS-05","D1","D1-genai-mechanics","Generative AI mechanics","awareness","core","Core / general","D1-genai-mechanics-awareness","D1-genai-mechanics-awareness-1","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area. Tailor it to this question: Research group uses AI to prepare an evidence summary. A document is broken into short encoded units before the model processes it. Every material factual claim needs traceable evidence. Which mechanism explains the observation?","Scenario: Research group needs an evidence summary.
Use: documented source extracts.
Rule: Every material factual claim needs traceable evidence.
Risk: An unsupported result can distort the recommendation.
Evidence: A document is broken into short encoded units before the model processes it.","requires artifact","source-comparison-pack","Source comparison / version evidence","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area.","NH-CORE-GENERAL-D1-GENAI-MECHANICS-AWARENESS-05","[object Object]"
"NH-CORE-GENERAL-D1-GENAI-MECHANICS-AWARENESS-06","D1","D1-genai-mechanics","Generative AI mechanics","awareness","core","Core / general","D1-genai-mechanics-awareness","D1-genai-mechanics-awareness-2","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap. Tailor it to this question: Volunteer organization uses AI to prepare a coordination plan. Texts about similar ideas are placed near one another in a numerical representation. Named people has to confirm changes to their assignments. Which mechanism explains the observation?","Scenario: Volunteer organization needs a coordination plan.
Use: approved volunteer schedules.
Rule: Named people must confirm changes to their assignments.
Risk: A missed handoff can leave a service uncovered.
Evidence: Texts about similar ideas are placed near one another in a numerical representation.","artifact helpful","workflow-trace","Workflow / agent trace","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap.","NH-CORE-GENERAL-D1-GENAI-MECHANICS-AWARENESS-06","[object Object]"
"NH-CORE-GENERAL-D1-GENAI-MECHANICS-APPLIED-01","D1","D1-genai-mechanics","Generative AI mechanics","applied","core","Core / general","D1-genai-mechanics-applied","D1-genai-mechanics-applied-3","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch. Tailor it to this question: Project team uses AI to prepare a project update. A stable output style fails despite tested prompts; many reviewed examples are available. Only the current approved version can be circulated. Which mechanism best addresses the stated need?","Scenario: Project team needs a project update.
Use: approved project records.
Rule: Only the current approved version may be circulated.
Risk: A wrong update can send the team to the wrong milestone.
Evidence: A stable output style fails despite tested prompts; many reviewed examples are available.","requires artifact","data-chart-dashboard","Dashboard / chart / calculation evidence","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch.","NH-CORE-GENERAL-D1-GENAI-MECHANICS-APPLIED-01","[object Object]"
"NH-CORE-GENERAL-D1-GENAI-MECHANICS-APPLIED-02","D1","D1-genai-mechanics","Generative AI mechanics","applied","core","Core / general","D1-genai-mechanics-applied","D1-genai-mechanics-applied-4","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area. Tailor it to this question: Community learning group uses AI to prepare a workshop guide. A long request fails before generation because it exceeds the input allowance. The guide has to work for readers with no AI background. Which mechanism best addresses the stated need? Select all that apply.","Scenario: Community learning group needs a workshop guide.
Use: reviewed learning materials.
Rule: The guide must work for readers with no AI background.
Risk: An unsupported instruction can mislead new learners.
Evidence: A long request fails before generation because it exceeds the input allowance.","artifact helpful","source-comparison-pack","Source comparison / version evidence","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area.","NH-CORE-GENERAL-D1-GENAI-MECHANICS-APPLIED-02","[object Object]"
"NH-CORE-GENERAL-D1-GENAI-MECHANICS-APPLIED-03","D1","D1-genai-mechanics","Generative AI mechanics","applied","core","Core / general","D1-genai-mechanics-applied","D1-genai-mechanics-applied-1","Create a realistic one-page policy excerpt with title, owner, effective date, scope, exception clause, approval route, and one visible applicability limit. Tailor it to this question: Small business uses AI to prepare a service briefing. The service briefing must cite a procedure that changes each week. Customer identifiers has to stay out of the briefing. Which mechanism best addresses the stated need?","Scenario: Small business needs a service briefing.
Use: approved service records.
Rule: Customer identifiers must stay out of the briefing.
Risk: A wrong claim can create a service commitment.
Evidence: The service briefing must cite a procedure that changes each week.","artifact helpful","policy-excerpt","Policy / terms excerpt","Short policy or terms excerpt with version, scope, exception, owner, and approval/review route.","Create a realistic one-page policy excerpt with title, owner, effective date, scope, exception clause, approval route, and one visible applicability limit.","NH-CORE-GENERAL-D1-GENAI-MECHANICS-APPLIED-03","[object Object]"
