artifactType,artifactLabel,domain,competencyLabel,difficulty,priority,candidateCount,sampleQuestionIds,artifactBrief,generationPrompt
"workflow-trace","Workflow / agent trace","D1","AI systems literacy","proficient","high","23","NH-CORE-GENERAL-D1-AI-SYSTEMS-PROFICIENT-01; NH-CORE-GENERAL-D1-AI-SYSTEMS-PROFICIENT-04; NH-CORE-GENERAL-D1-AI-SYSTEMS-PROFICIENT-06; NH-CORE-GENERAL-D1-AI-SYSTEMS-PROFICIENT-08; NH-FUNCTION-GENERAL-D1-AI-SYSTEMS-PROFICIENT-01; NH-FUNCTION-GENERAL-D1-AI-SYSTEMS-PROFICIENT-03; NH-FUNCTION-GENERAL-D1-AI-SYSTEMS-PROFICIENT-04; NH-FUNCTION-FINANCE-D1-AI-SYSTEMS-PROFICIENT-01","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D5","ROI and measurement","advanced","high","22","NH-CORE-GENERAL-D5-ROI-METRICS-ADVANCED-01; NH-CORE-GENERAL-D5-ROI-METRICS-ADVANCED-03; NH-CORE-GENERAL-D5-ROI-METRICS-ADVANCED-04; NH-CORE-GENERAL-D5-ROI-METRICS-ADVANCED-07; NH-CORE-GENERAL-D5-ROI-METRICS-ADVANCED-08; NH-FUNCTION-GENERAL-D5-ROI-METRICS-ADVANCED-02; NH-FUNCTION-GENERAL-D5-ROI-METRICS-ADVANCED-04; NH-FUNCTION-FINANCE-D5-ROI-METRICS-ADVANCED-01","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"source-comparison-pack","Source comparison / version evidence","D3","Source and claim verification","awareness","high","22","NH-CORE-GENERAL-D3-SOURCE-VERIFICATION-AWARENESS-02; NH-CORE-GENERAL-D3-SOURCE-VERIFICATION-AWARENESS-04; NH-CORE-GENERAL-D3-SOURCE-VERIFICATION-AWARENESS-05; NH-CORE-GENERAL-D3-SOURCE-VERIFICATION-AWARENESS-08; NH-FUNCTION-GENERAL-D3-SOURCE-VERIFICATION-AWARENESS-03; NH-FUNCTION-PEOPLE-D3-SOURCE-VERIFICATION-AWARENESS-01; NH-FUNCTION-PEOPLE-D3-SOURCE-VERIFICATION-AWARENESS-03; NH-FUNCTION-MARKETING-D3-SOURCE-VERIFICATION-AWARENESS-02","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"source-comparison-pack","Source comparison / version evidence","D6","Human-AI role clarity","applied","high","22","NH-CORE-GENERAL-D6-ROLE-CLARITY-APPLIED-02; NH-CORE-GENERAL-D6-ROLE-CLARITY-APPLIED-05; NH-CORE-GENERAL-D6-ROLE-CLARITY-APPLIED-06; NH-FUNCTION-GENERAL-D6-ROLE-CLARITY-APPLIED-04; NH-FUNCTION-PEOPLE-D6-ROLE-CLARITY-APPLIED-03; NH-FUNCTION-PEOPLE-D6-ROLE-CLARITY-APPLIED-04; NH-FUNCTION-FINANCE-D6-ROLE-CLARITY-APPLIED-02; NH-FUNCTION-SALES-D6-ROLE-CLARITY-APPLIED-01","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"workflow-trace","Workflow / agent trace","D1","AI systems literacy","advanced","high","22","NH-CORE-GENERAL-D1-AI-SYSTEMS-ADVANCED-03; NH-CORE-GENERAL-D1-AI-SYSTEMS-ADVANCED-06; NH-CORE-GENERAL-D1-AI-SYSTEMS-ADVANCED-07; NH-FUNCTION-GENERAL-D1-AI-SYSTEMS-ADVANCED-01; NH-FUNCTION-GENERAL-D1-AI-SYSTEMS-ADVANCED-02; NH-FUNCTION-GENERAL-D1-AI-SYSTEMS-ADVANCED-03; NH-FUNCTION-FINANCE-D1-AI-SYSTEMS-ADVANCED-01; NH-FUNCTION-FINANCE-D1-AI-SYSTEMS-ADVANCED-04","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap."
"source-comparison-pack","Source comparison / version evidence","D2","Tool selection and integration","advanced","high","21","NH-CORE-GENERAL-D2-TOOL-SELECTION-ADVANCED-02; NH-CORE-GENERAL-D2-TOOL-SELECTION-ADVANCED-04; NH-CORE-GENERAL-D2-TOOL-SELECTION-ADVANCED-05; NH-CORE-GENERAL-D2-TOOL-SELECTION-ADVANCED-06; NH-CORE-GENERAL-D2-TOOL-SELECTION-ADVANCED-08; NH-FUNCTION-GENERAL-D2-TOOL-SELECTION-ADVANCED-01; NH-FUNCTION-GENERAL-D2-TOOL-SELECTION-ADVANCED-03; NH-FUNCTION-FINANCE-D2-TOOL-SELECTION-ADVANCED-02","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"source-comparison-pack","Source comparison / version evidence","D3","Source and claim verification","proficient","high","21","NH-CORE-GENERAL-D3-SOURCE-VERIFICATION-PROFICIENT-02; NH-CORE-GENERAL-D3-SOURCE-VERIFICATION-PROFICIENT-05; NH-CORE-GENERAL-D3-SOURCE-VERIFICATION-PROFICIENT-06; NH-FUNCTION-GENERAL-D3-SOURCE-VERIFICATION-PROFICIENT-04; NH-FUNCTION-PEOPLE-D3-SOURCE-VERIFICATION-PROFICIENT-02; NH-FUNCTION-PEOPLE-D3-SOURCE-VERIFICATION-PROFICIENT-03; NH-FUNCTION-MARKETING-D3-SOURCE-VERIFICATION-PROFICIENT-03; NH-FUNCTION-SALES-D3-SOURCE-VERIFICATION-PROFICIENT-01","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D5","Portfolio prioritization","awareness","high","20","NH-CORE-GENERAL-D5-PORTFOLIO-PRIORITIZATION-AWARENESS-01; NH-CORE-GENERAL-D5-PORTFOLIO-PRIORITIZATION-AWARENESS-03; NH-CORE-GENERAL-D5-PORTFOLIO-PRIORITIZATION-AWARENESS-04; NH-CORE-GENERAL-D5-PORTFOLIO-PRIORITIZATION-AWARENESS-07; NH-CORE-GENERAL-D5-PORTFOLIO-PRIORITIZATION-AWARENESS-08; NH-FUNCTION-FINANCE-D5-PORTFOLIO-PRIORITIZATION-AWARENESS-01; NH-FUNCTION-FINANCE-D5-PORTFOLIO-PRIORITIZATION-AWARENESS-03; NH-FUNCTION-FINANCE-D5-PORTFOLIO-PRIORITIZATION-AWARENESS-04","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D5","Portfolio prioritization","applied","high","20","NH-CORE-GENERAL-D5-PORTFOLIO-PRIORITIZATION-APPLIED-01; NH-CORE-GENERAL-D5-PORTFOLIO-PRIORITIZATION-APPLIED-03; NH-CORE-GENERAL-D5-PORTFOLIO-PRIORITIZATION-APPLIED-04; NH-CORE-GENERAL-D5-PORTFOLIO-PRIORITIZATION-APPLIED-07; NH-CORE-GENERAL-D5-PORTFOLIO-PRIORITIZATION-APPLIED-08; NH-FUNCTION-FINANCE-D5-PORTFOLIO-PRIORITIZATION-APPLIED-01; NH-FUNCTION-FINANCE-D5-PORTFOLIO-PRIORITIZATION-APPLIED-03; NH-FUNCTION-FINANCE-D5-PORTFOLIO-PRIORITIZATION-APPLIED-04","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D5","Portfolio prioritization","proficient","high","20","NH-CORE-GENERAL-D5-PORTFOLIO-PRIORITIZATION-PROFICIENT-01; NH-CORE-GENERAL-D5-PORTFOLIO-PRIORITIZATION-PROFICIENT-03; NH-CORE-GENERAL-D5-PORTFOLIO-PRIORITIZATION-PROFICIENT-04; NH-CORE-GENERAL-D5-PORTFOLIO-PRIORITIZATION-PROFICIENT-07; NH-CORE-GENERAL-D5-PORTFOLIO-PRIORITIZATION-PROFICIENT-08; NH-FUNCTION-FINANCE-D5-PORTFOLIO-PRIORITIZATION-PROFICIENT-01; NH-FUNCTION-FINANCE-D5-PORTFOLIO-PRIORITIZATION-PROFICIENT-03; NH-FUNCTION-FINANCE-D5-PORTFOLIO-PRIORITIZATION-PROFICIENT-04","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D6","Change enablement","advanced","high","19","NH-CORE-GENERAL-D6-CHANGE-ENABLEMENT-ADVANCED-03; NH-CORE-GENERAL-D6-CHANGE-ENABLEMENT-ADVANCED-04; NH-CORE-GENERAL-D6-CHANGE-ENABLEMENT-ADVANCED-07; NH-CORE-GENERAL-D6-CHANGE-ENABLEMENT-ADVANCED-08; NH-FUNCTION-PEOPLE-D6-CHANGE-ENABLEMENT-ADVANCED-02; NH-FUNCTION-PEOPLE-D6-CHANGE-ENABLEMENT-ADVANCED-04; NH-INDUSTRY-EDUCATION-D6-CHANGE-ENABLEMENT-ADVANCED-01; NH-INDUSTRY-EDUCATION-D6-CHANGE-ENABLEMENT-ADVANCED-02","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"source-comparison-pack","Source comparison / version evidence","D2","Prompt design","proficient","high","19","NH-CORE-GENERAL-D2-PROMPT-DESIGN-PROFICIENT-01; NH-CORE-GENERAL-D2-PROMPT-DESIGN-PROFICIENT-02; NH-CORE-GENERAL-D2-PROMPT-DESIGN-PROFICIENT-05; NH-CORE-GENERAL-D2-PROMPT-DESIGN-PROFICIENT-06; NH-FUNCTION-GENERAL-D2-PROMPT-DESIGN-PROFICIENT-02; NH-FUNCTION-GENERAL-D2-PROMPT-DESIGN-PROFICIENT-03; NH-FUNCTION-PEOPLE-D2-PROMPT-DESIGN-PROFICIENT-01; NH-FUNCTION-PEOPLE-D2-PROMPT-DESIGN-PROFICIENT-02","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"source-comparison-pack","Source comparison / version evidence","D2","Output refinement","awareness","high","19","NH-CORE-GENERAL-D2-OUTPUT-REFINEMENT-AWARENESS-02; NH-CORE-GENERAL-D2-OUTPUT-REFINEMENT-AWARENESS-03; NH-CORE-GENERAL-D2-OUTPUT-REFINEMENT-AWARENESS-04; NH-CORE-GENERAL-D2-OUTPUT-REFINEMENT-AWARENESS-05; NH-CORE-GENERAL-D2-OUTPUT-REFINEMENT-AWARENESS-07; NH-CORE-GENERAL-D2-OUTPUT-REFINEMENT-AWARENESS-08; NH-FUNCTION-PEOPLE-D2-OUTPUT-REFINEMENT-AWARENESS-01; NH-FUNCTION-PEOPLE-D2-OUTPUT-REFINEMENT-AWARENESS-03","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"source-comparison-pack","Source comparison / version evidence","D4","Security and governance controls","applied","high","19","NH-CORE-GENERAL-D4-SECURITY-GOVERNANCE-APPLIED-02; NH-CORE-GENERAL-D4-SECURITY-GOVERNANCE-APPLIED-05; NH-FUNCTION-SALES-D4-SECURITY-GOVERNANCE-APPLIED-01; NH-FUNCTION-SALES-D4-SECURITY-GOVERNANCE-APPLIED-02; NH-FUNCTION-SALES-D4-SECURITY-GOVERNANCE-APPLIED-03; NH-FUNCTION-SALES-D4-SECURITY-GOVERNANCE-APPLIED-04; NH-FUNCTION-CUSTOMERSERVICE-D4-SECURITY-GOVERNANCE-APPLIED-01; NH-FUNCTION-CUSTOMERSERVICE-D4-SECURITY-GOVERNANCE-APPLIED-02","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"source-comparison-pack","Source comparison / version evidence","D4","Security and governance controls","proficient","high","19","NH-CORE-GENERAL-D4-SECURITY-GOVERNANCE-PROFICIENT-02; NH-CORE-GENERAL-D4-SECURITY-GOVERNANCE-PROFICIENT-05; NH-FUNCTION-SALES-D4-SECURITY-GOVERNANCE-PROFICIENT-01; NH-FUNCTION-SALES-D4-SECURITY-GOVERNANCE-PROFICIENT-02; NH-FUNCTION-SALES-D4-SECURITY-GOVERNANCE-PROFICIENT-03; NH-FUNCTION-SALES-D4-SECURITY-GOVERNANCE-PROFICIENT-04; NH-FUNCTION-CUSTOMERSERVICE-D4-SECURITY-GOVERNANCE-PROFICIENT-01; NH-FUNCTION-CUSTOMERSERVICE-D4-SECURITY-GOVERNANCE-PROFICIENT-02","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"workflow-trace","Workflow / agent trace","D2","Agentic workflows","awareness","high","19","NH-CORE-GENERAL-D2-AGENTIC-WORKFLOWS-AWARENESS-03; NH-CORE-GENERAL-D2-AGENTIC-WORKFLOWS-AWARENESS-04; NH-CORE-GENERAL-D2-AGENTIC-WORKFLOWS-AWARENESS-06; NH-CORE-GENERAL-D2-AGENTIC-WORKFLOWS-AWARENESS-07; NH-CORE-GENERAL-D2-AGENTIC-WORKFLOWS-AWARENESS-08; NH-FUNCTION-GENERAL-D2-AGENTIC-WORKFLOWS-AWARENESS-01; NH-FUNCTION-GENERAL-D2-AGENTIC-WORKFLOWS-AWARENESS-04; NH-FUNCTION-FINANCE-D2-AGENTIC-WORKFLOWS-AWARENESS-02","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D6","Change enablement","applied","high","18","NH-CORE-GENERAL-D6-CHANGE-ENABLEMENT-APPLIED-01; NH-CORE-GENERAL-D6-CHANGE-ENABLEMENT-APPLIED-03; NH-CORE-GENERAL-D6-CHANGE-ENABLEMENT-APPLIED-04; NH-CORE-GENERAL-D6-CHANGE-ENABLEMENT-APPLIED-07; NH-CORE-GENERAL-D6-CHANGE-ENABLEMENT-APPLIED-08; NH-FUNCTION-PEOPLE-D6-CHANGE-ENABLEMENT-APPLIED-02; NH-FUNCTION-PEOPLE-D6-CHANGE-ENABLEMENT-APPLIED-04; NH-INDUSTRY-EDUCATION-D6-CHANGE-ENABLEMENT-APPLIED-01","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"security-audit-log","Security / access / audit evidence","D4","Regulatory and policy fluency","applied","high","18","NH-CORE-GENERAL-D4-REGULATORY-POLICY-APPLIED-01; NH-CORE-GENERAL-D4-REGULATORY-POLICY-APPLIED-04; NH-CORE-GENERAL-D4-REGULATORY-POLICY-APPLIED-08; NH-FUNCTION-PEOPLE-D4-REGULATORY-POLICY-APPLIED-01; NH-FUNCTION-PEOPLE-D4-REGULATORY-POLICY-APPLIED-02; NH-FUNCTION-FINANCE-D4-REGULATORY-POLICY-APPLIED-01; NH-FUNCTION-FINANCE-D4-REGULATORY-POLICY-APPLIED-04; NH-INDUSTRY-FINANCIAL-D4-REGULATORY-POLICY-APPLIED-03","Realistic access log, vendor questionnaire, permission console, or audit trail with key fields highlighted.","Create a realistic security review artifact with access scopes, actor identity, requested action, approval status, audit timestamps, and one visible control gap."
"security-audit-log","Security / access / audit evidence","D4","Regulatory and policy fluency","proficient","high","18","NH-CORE-GENERAL-D4-REGULATORY-POLICY-PROFICIENT-03; NH-CORE-GENERAL-D4-REGULATORY-POLICY-PROFICIENT-07; NH-FUNCTION-PEOPLE-D4-REGULATORY-POLICY-PROFICIENT-01; NH-FUNCTION-PEOPLE-D4-REGULATORY-POLICY-PROFICIENT-04; NH-FUNCTION-FINANCE-D4-REGULATORY-POLICY-PROFICIENT-02; NH-FUNCTION-FINANCE-D4-REGULATORY-POLICY-PROFICIENT-03; NH-FUNCTION-FINANCE-D4-REGULATORY-POLICY-PROFICIENT-04; NH-INDUSTRY-FINANCIAL-D4-REGULATORY-POLICY-PROFICIENT-03","Realistic access log, vendor questionnaire, permission console, or audit trail with key fields highlighted.","Create a realistic security review artifact with access scopes, actor identity, requested action, approval status, audit timestamps, and one visible control gap."
"source-comparison-pack","Source comparison / version evidence","D1","Capability boundaries","proficient","high","18","NH-CORE-GENERAL-D1-CAPABILITY-LIMITS-PROFICIENT-02; NH-CORE-GENERAL-D1-CAPABILITY-LIMITS-PROFICIENT-03; NH-CORE-GENERAL-D1-CAPABILITY-LIMITS-PROFICIENT-04; NH-CORE-GENERAL-D1-CAPABILITY-LIMITS-PROFICIENT-05; NH-CORE-GENERAL-D1-CAPABILITY-LIMITS-PROFICIENT-06; NH-CORE-GENERAL-D1-CAPABILITY-LIMITS-PROFICIENT-07; NH-CORE-GENERAL-D1-CAPABILITY-LIMITS-PROFICIENT-08; NH-FUNCTION-SALES-D1-CAPABILITY-LIMITS-PROFICIENT-01","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
